source,run_date,run_at,zone,target,model,model_label,covariate_case,context_hours,timestamp,forecast_mw,actual_mw,tso_forecast_mw,context_start,context_end
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 13:00:00+00:00,54808.701722,53749.8797725,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 14:00:00+00:00,54828.23629275,54053.9182975,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 15:00:00+00:00,55914.8746995,55743.3971175,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 16:00:00+00:00,57655.146782,57357.148085,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,DE,load,tso_reference,TSO forecast,tso_forecast,2208,2025-12-20 17:00:00+00:00,58153.6287735,57211.197905,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2025-12-19 18:00:00+00:00,10940.4,10647.0525,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2025-12-19 19:00:00+00:00,10366.41,10160.345,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2025-12-19 20:00:00+00:00,9890.245,9701.2,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2025-12-19 21:00:00+00:00,9640.415,9556.86,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
historical_mock_realized,2025-12-19,2025-12-19 18:00:00+00:00,BE,load,persistence,Persistence,weekly_persistence,2208,2025-12-19 22:00:00+00:00,9398.6325,9309.2825,,2025-09-18 18:00:00+00:00,2025-12-19 17:00:00+00:00
